Realisation number,Variable,AIC fold,AIC hopf,AIC null
1,Chlorella,6.7434402628872764e-46,1.0,3.952878014103205e-46
1,Brachionus,0.9527474926964078,0.04724896793987714,3.5393637151654867e-06
2,Chlorella,3.5012443179081505e-19,1.0,2.0717034083784893e-20
2,Brachionus,0.9999999999769005,2.3097005016096876e-11,2.3832057851548774e-15
3,Chlorella,2.0769451043075896e-24,1.0,1.742566599530422e-25
3,Brachionus,0.9999999999999978,2.716501498535693e-16,2.086669422454617e-15
4,Chlorella,6.552938824119721e-33,1.0,1.1679704039700247e-33
4,Brachionus,0.9999999999925377,4.151908864381168e-12,3.3101550882190523e-12
5,Chlorella,2.0382056487311174e-32,1.0,2.5167778410964088e-33
5,Brachionus,0.9999999999999098,7.543943894063362e-14,1.4764999585014215e-14
6,Chlorella,4.494288421739036e-18,1.0,7.229543494252265e-20
6,Brachionus,2.7274047300001325e-06,0.9999972725952699,8.283319285976671e-17
7,Chlorella,2.951909105075176e-22,1.0,3.582163263574526e-24
7,Brachionus,0.10902966528527762,0.8909703347039306,1.0791729830106341e-11
8,Chlorella,5.895716523436223e-22,1.0,1.5768585701957914e-23
8,Brachionus,0.9999999999556535,4.43425746070109e-11,4.073253303039381e-15
9,Chlorella,5.076469472186142e-23,1.0,4.600724461058631e-24
9,Brachionus,1.7303289316854233e-06,0.9999982696710683,2.1286339400809043e-18
10,Chlorella,2.4944824003462847e-33,1.0,4.954948326991758e-34
10,Brachionus,0.9994002443282862,0.0005997426853355317,1.2986378119899816e-08
11,Chlorella,1.0130874217227485e-27,1.0,3.1666010817409565e-29
11,Brachionus,0.6426596748896579,0.35734032499894997,1.1139202093646355e-10
12,Chlorella,4.27017042639115e-26,1.0,1.0815526687459553e-27
12,Brachionus,0.17656574265859867,0.8234342573413806,2.074749800888335e-14
13,Chlorella,7.238557140948982e-25,1.0,3.477620075737039e-26
13,Brachionus,0.9999971525824428,2.8474175536868074e-06,3.656092959742686e-15
14,Chlorella,3.4867568568359866e-15,0.9999999999999964,3.2027627798217207e-17
14,Brachionus,7.26705294033603e-13,0.9999999999992732,3.9846101610830915e-24
15,Chlorella,8.559876153792582e-19,1.0,5.71519975371252e-21
15,Brachionus,1.0,1.3305188837425246e-21,7.556222205641013e-21
16,Chlorella,8.145329609343548e-16,0.9999999999999991,1.3876738306194241e-17
16,Brachionus,9.918962036249358e-05,0.999900810379623,1.4515216188874058e-14
17,Chlorella,8.716372573986136e-22,1.0,8.995629512729281e-23
17,Brachionus,1.132128868967656e-08,0.9999999886787113,7.027435843427246e-17
18,Chlorella,7.513179264811758e-47,1.0,4.9318911046326275e-47
18,Brachionus,0.00027120997378771535,0.9997287434022982,4.662391419568339e-08
19,Chlorella,2.492208031476325e-17,1.0,1.2886891659023794e-18
19,Brachionus,1.8501261017380622e-10,0.9999999998149873,7.077450440092787e-22
20,Chlorella,1.496384852584711e-45,1.0,6.372379450483443e-46
20,Brachionus,0.9874899622284097,0.012505645757278153,4.392014312126006e-06
21,Chlorella,6.690468707894912e-30,1.0,4.388449126314308e-31
21,Brachionus,0.9999999951287233,4.868264415335392e-09,3.012148443538098e-12
22,Chlorella,4.541590380239508e-32,1.0,4.2380196756035976e-33
22,Brachionus,0.9999998694040249,1.298122531704465e-07,7.837219993436899e-10
23,Chlorella,2.8528790209002106e-20,1.0,5.799959464190599e-23
23,Brachionus,0.9999999894490873,1.055041051777075e-08,5.022885332468835e-13
24,Chlorella,7.163767353903418e-23,1.0,2.514083293898818e-24
24,Brachionus,0.9999999995697821,2.900844614905307e-10,1.401333948258853e-10
25,Chlorella,5.233007149068333e-23,1.0,1.6458788145400523e-24
25,Brachionus,0.9452882293385453,0.05471177065658246,4.872338064908358e-12
26,Chlorella,7.712030827771824e-27,1.0,3.1283102867492485e-28
26,Brachionus,0.9999999999898836,9.79457649310802e-12,3.2177302292024204e-13
27,Chlorella,1.4622937038362865e-12,0.9999999999985221,1.5443386837409423e-14
27,Brachionus,6.290223172700918e-13,0.999999999999371,2.5381275644107638e-26
28,Chlorella,1.4078334471936513e-24,1.0,4.993395283627931e-26
28,Brachionus,0.9999999999999631,2.990124057115644e-14,6.947314883507133e-15
29,Chlorella,5.342253018972978e-08,0.9999999465699418,7.52787560948861e-12
29,Brachionus,0.617198145332634,0.38280185466722877,1.372566082692201e-13
30,Chlorella,4.0314741738786745e-21,1.0,4.8284155135978855e-23
30,Brachionus,0.9999999999999765,6.0833202160341544e-15,1.7523858735359557e-14
31,Chlorella,2.9705012131862074e-26,1.0,3.1967834710998533e-27
31,Brachionus,0.9999999999997262,1.2929024870434197e-13,1.4459552445249542e-13
32,Chlorella,4.691617846170638e-28,1.0,4.3112288998254095e-29
32,Brachionus,0.9999999999995937,1.9198750894750436e-13,2.1436873656809978e-13
33,Chlorella,2.0154038612728875e-27,1.0,1.1746510459303486e-28
33,Brachionus,0.9999999998671785,1.3213371940112435e-10,6.879866689783171e-13
34,Chlorella,1.9765616411562336e-16,0.9999999999999998,9.816460494609092e-19
34,Brachionus,6.109557614471818e-06,0.9999938904423856,9.02205179474423e-18
35,Chlorella,8.47580579254911e-11,0.9999999999151639,7.807820444384561e-14
35,Brachionus,5.078158791026254e-13,0.9999999999994922,7.857099840170287e-22
36,Chlorella,0.00035344295396703577,0.9996465546792778,2.36675534385606e-09
36,Brachionus,1.9961832902708912e-08,0.9999999800381671,5.279664414425872e-19
37,Chlorella,6.769756530591792e-13,0.9999999999993228,1.6187855829450771e-16
37,Brachionus,0.9548133339658985,0.045186666034078074,2.3419525910246505e-14
38,Chlorella,2.607392100333244e-30,1.0,2.2966473371671734e-31
38,Brachionus,0.9999999750950876,2.466258403531957e-08,2.423283456618619e-10
39,Chlorella,6.729004675213982e-35,1.0,1.4303516393334178e-35
39,Brachionus,0.9999999988202986,9.747794559813799e-10,2.0492203131976292e-10
40,Chlorella,2.1959710956875337e-25,1.0,1.367385447351592e-26
40,Brachionus,1.0,1.80532034884295e-17,1.9802002574886067e-21
41,Chlorella,2.6236897868645105e-13,0.9999999999997371,3.7745320635952837e-16
41,Brachionus,1.8571591459654228e-11,0.9999999999814284,2.784602462703573e-24
42,Chlorella,1.600505777939618e-22,1.0,1.7134181869673496e-23
42,Brachionus,4.1340219003739993e-07,0.9999995865977126,9.732071220457368e-14
43,Chlorella,2.8125782470154247e-25,1.0,1.4418094365465942e-26
43,Brachionus,0.9999999190138585,8.098613002561359e-08,1.1422466689029245e-14
44,Chlorella,2.1651799473262986e-32,1.0,2.2544563039770812e-33
44,Brachionus,0.9999999240448638,7.594810348284104e-08,7.03267599008042e-12
45,Chlorella,1.2977891247342098e-24,1.0,9.40241316649042e-26
45,Brachionus,0.9999999999941691,5.8231086785529e-12,7.751066576776289e-15
46,Chlorella,1.4235491819995995e-17,1.0,3.4170615266960197e-19
46,Brachionus,4.430286814283253e-09,0.9999999955697132,9.980752706987345e-20
47,Chlorella,2.1136865622273215e-07,0.9999997880502761,5.810676660354042e-10
47,Brachionus,3.160752358551864e-23,1.0,7.58990629626045e-35
48,Chlorella,5.1789647521308174e-21,1.0,7.343057640409629e-23
48,Brachionus,0.9705726053491882,0.029427394649871933,9.397355180845777e-13
49,Chlorella,7.889004875355742e-17,1.0,1.68816777137251e-18
49,Brachionus,6.412518311545941e-08,0.999999935874817,5.592533553024432e-21
50,Chlorella,3.1032559072401222e-15,0.9999999999999969,2.864353427774143e-17
50,Brachionus,0.999846642502097,0.00015335749786233338,4.055798991954967e-14
51,Chlorella,3.7928957593024326e-11,0.9999999999619793,9.178852900392294e-14
51,Brachionus,0.9998484507490029,0.00015154925095839497,3.8838996814094905e-14
52,Chlorella,8.842104372549644e-32,1.0,8.445908828022112e-33
52,Brachionus,0.9999999999999698,9.198658410304459e-15,2.1098335365217857e-14
53,Chlorella,7.183587271459378e-21,1.0,1.448935237641715e-22
53,Brachionus,0.9999753368938625,2.466310597246437e-05,1.6490222966935573e-13
54,Chlorella,1.1870463453716064e-22,1.0,1.8399078920112196e-24
54,Brachionus,0.9999830990911442,1.6900908853432855e-05,2.2639836059474593e-15
55,Chlorella,0.000728504819412722,0.9992714796327603,1.5547826997273658e-08
55,Brachionus,4.96725178738085e-07,0.9999995032748212,2.792312990198936e-19
56,Chlorella,5.19263770933952e-29,1.0,7.517802158044617e-30
56,Brachionus,0.9999999977240557,1.982599076569217e-09,2.933454182069096e-10
57,Chlorella,5.580674760744054e-31,1.0,3.641307531546962e-32
57,Brachionus,0.9999999999999922,3.602526590596198e-15,4.319903910320629e-15
58,Chlorella,3.063570599441836e-20,1.0,1.1055439551456366e-21
58,Brachionus,7.39670362465462e-07,0.9999992603296375,1.298504818833116e-20
59,Chlorella,1.0001575829005717e-32,1.0,1.7526788340974547e-33
59,Brachionus,0.9999999824691909,1.749677086640427e-08,3.403838194898919e-11
60,Chlorella,1.4065968362456972e-12,0.9999999999985931,1.5292132495860675e-16
60,Brachionus,4.968664656962302e-10,0.9999999995031335,1.627301535620167e-21
61,Chlorella,9.211083614568755e-29,1.0,7.413850199535111e-30
61,Brachionus,0.999998429390008,1.5670077715733074e-06,3.6022203946702376e-09
62,Chlorella,4.197469423856806e-28,1.0,2.3195077589818532e-29
62,Brachionus,0.9999999999996227,2.864564596756343e-13,9.08490148237396e-14
63,Chlorella,1.5215939271108448e-23,1.0,8.133982714950895e-25
63,Brachionus,0.9999999999999947,1.1957905336403495e-15,4.1510902073012454e-15
64,Chlorella,2.3860699709094093e-25,1.0,1.4979428461736606e-26
64,Brachionus,0.9999999999787992,1.5243620125916673e-11,5.957331458062301e-12
65,Chlorella,5.825669502516171e-26,1.0,5.770997345246228e-27
65,Brachionus,0.9999999563131269,4.3114516047497323e-08,5.723569315407676e-10
66,Chlorella,1.2055133846652597e-18,1.0,1.9595080991131845e-21
66,Brachionus,0.00020380457533832093,0.9997961954243229,3.3868152618320603e-13
67,Chlorella,3.5101754034511875e-23,1.0,7.556842282996763e-25
67,Brachionus,0.9999999985246983,1.4752166193796777e-09,8.503044851168617e-14
68,Chlorella,1.1609626823406249e-22,1.0,1.1326973571129987e-24
68,Brachionus,0.9999999999999523,4.778330508493268e-14,6.807421119008069e-20
69,Chlorella,1.8244275404541495e-23,1.0,5.651135732123804e-25
69,Brachionus,0.005340547247289244,0.9946594527516387,1.0721581986875828e-12
70,Chlorella,5.5329899469102985e-12,0.9999999999944587,8.373814463305248e-15
70,Brachionus,0.36818777255635066,0.6318122274424576,1.1917470391860649e-12
71,Chlorella,1.2101362321688398e-34,1.0,3.1753814160992767e-35
71,Brachionus,0.9998866431334882,0.00011330818956599278,4.867694586886706e-08
72,Chlorella,1.7648849963266397e-16,0.9999999999999998,2.4396019078443268e-20
72,Brachionus,0.33853953168123363,0.6614604683186927,7.365820666302299e-14
73,Chlorella,2.8477045944951117e-43,1.0,1.2688181565706335e-43
73,Brachionus,0.9052244176612626,0.09477475748108112,8.248576562108574e-07
74,Chlorella,9.988571459857005e-39,1.0,3.9563909500874163e-39
74,Brachionus,0.0003932900639033677,0.999606694776056,1.516004071745551e-08
75,Chlorella,1.4526602781864654e-30,1.0,9.170098902903887e-32
75,Brachionus,0.9999999987440709,1.0638049487351595e-09,1.9212404945206745e-10
76,Chlorella,2.4792770717022383e-23,1.0,1.6039110831996418e-24
76,Brachionus,0.9334999468587687,0.06650005313990577,1.325469283035542e-12
77,Chlorella,2.807078039498705e-30,1.0,2.671731030094221e-31
77,Brachionus,0.9999999999620839,3.741751198691052e-11,4.986463505892372e-13
78,Chlorella,1.7103507919555227e-26,1.0,1.3611943746974453e-27
78,Brachionus,0.9999989120580809,1.0869028060249309e-06,1.0391130518864957e-09
79,Chlorella,1.7751336672319857e-32,1.0,4.093209834891191e-33
79,Brachionus,0.9999999999839684,8.752064802496822e-12,7.279504867792442e-12
80,Chlorella,3.429307200160479e-36,1.0,1.2236843191982754e-36
80,Brachionus,0.9999986301509876,1.3486732819843963e-06,2.1175730321475626e-08
81,Chlorella,4.791641089437373e-24,1.0,2.304447335593598e-25
81,Brachionus,1.0,9.56956953114027e-18,6.326881578865088e-17
82,Chlorella,6.596392858879608e-10,0.9999999993402382,1.2266246717175728e-13
82,Brachionus,0.0029143024071470167,0.9970856975928514,1.6125152497643792e-15
83,Chlorella,7.225134232758367e-25,1.0,4.746931552087967e-26
83,Brachionus,0.9999999999999996,9.393977414725883e-17,5.124270381571698e-16
84,Chlorella,1.7233527481039172e-22,1.0,1.238017793345695e-24
84,Brachionus,0.9999999999996054,3.945101786644781e-13,2.6526898024023804e-19
85,Chlorella,1.180199050976562e-14,0.9999999999999882,3.601967785290923e-17
85,Brachionus,2.3421203286467184e-07,0.9999997657879671,1.5883714077733246e-20
86,Chlorella,8.183392886131682e-12,0.9999999999918159,7.320904224925117e-16
86,Brachionus,1.2187791581742043e-05,0.9999878122084183,6.172494106516158e-22
87,Chlorella,3.4112537209856726e-26,1.0,1.227009298843569e-27
87,Brachionus,0.9999999999383011,4.985308782976816e-11,1.184579096733839e-11
88,Chlorella,1.1148006341240576e-27,1.0,1.894329197362854e-28
88,Brachionus,0.9992167286948617,0.0007832712709887697,3.414969132249911e-11
89,Chlorella,2.2341240143573496e-26,1.0,1.5530274569994062e-27
89,Brachionus,0.9978947941659079,0.0021052058332478225,8.442408653508834e-13
90,Chlorella,1.0069340585088138e-23,1.0,4.841450422090582e-25
90,Brachionus,0.9997386847615253,0.00026131522040270615,1.807214394591371e-11
91,Chlorella,2.3325387477713715e-21,1.0,7.403983804327197e-23
91,Brachionus,0.0027093441091528355,0.9972906558908455,1.4578886365527253e-15
92,Chlorella,2.6938280882110393e-52,1.0,1.4043322496592772e-52
92,Brachionus,5.056440625696456e-07,0.9999994940906173,2.653201654946196e-10
93,Chlorella,3.865584877812597e-42,1.0,1.036192970504879e-42
93,Brachionus,0.9884907891313391,0.011508466784096297,7.440845646126071e-07
94,Chlorella,3.232299064320392e-29,1.0,5.120463151582732e-30
94,Brachionus,0.9999999940206814,5.89699281016601e-09,8.23256240239267e-11
95,Chlorella,6.835905317903008e-31,1.0,1.2003225984583446e-31
95,Brachionus,0.0038970100110578736,0.9961029888093862,1.1795560177317809e-09
96,Chlorella,8.365596098374107e-10,0.9999999991618624,1.5777841540844464e-12
96,Brachionus,0.99995150621932,4.84937800558992e-05,6.238874849494688e-13
97,Chlorella,5.696109446431689e-13,0.9999999999994267,3.695399793392954e-15
97,Brachionus,1.3441815755038964e-07,0.9999998655818424,2.0781443274301327e-18
98,Chlorella,8.913299573516977e-19,1.0,1.689075121485252e-20
98,Brachionus,0.9881858775789927,0.01181412238123098,3.977630371312695e-11
99,Chlorella,2.517741411136558e-16,0.9999999999999998,3.3364901127662795e-18
99,Brachionus,0.9995938388315355,0.00040616116845783827,6.665584077686037e-15
100,Chlorella,3.876099163313173e-30,1.0,5.069664918588014e-31
100,Brachionus,0.9999999999698079,7.423909915792434e-12,2.2768262405249483e-11
